Name,Image URL,Origin,Length,Color,Stem Price,Quantity
"Anthurium Graciosa","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_f1dcd771-f005-48d7-a90e-7278b1355082.jpg","NL","9 cm","rgb(255, 255, 255)","1.05","x 20"
"Anthurium Grand Slam","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F122541.jpg%3F4","NL","15 cm","rgb(0, 128, 0)","1.50","x 10"
"Anthurium Grand Slam","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F122541.jpg%3F4","NL","13 cm","rgb(0, 128, 0)","1.48","x 12"
"Anthurium Impulz","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121021.jpg%3F3","NL","13 cm","rgb(208, 2, 27)","1.06","x 12"
"Anthurium Impulz","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121021.jpg%3F3","NL","15 cm","rgb(208, 2, 27)","1.12","x 10"
"Anthurium Impulz","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F121021.jpg%3F3","NL","11 cm","rgb(208, 2, 27)","0.86","x 16"
"Anthurium Kaleo","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FS_10114ce7-c01d-4a97-a438-033b1655d523.jpg","NL","13 cm","rgb(189, 16, 224)","1.31","x 12"
"Anthurium Kaseko","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F120470.jpg%3F2","NL","11 cm","rgb(255, 253, 208)","0.96","x 16"
"Anthurium Kaseko","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F120470.jpg%3F2","NL","13 cm","rgb(255, 253, 208)","1.31","x 12"
"Anthurium Kaseko","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F120470.jpg%3F2","NL","9 cm","rgb(255, 253, 208)","0.74","x 20"
"Anthurium Licosa","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_71bf41d4-9be8-45a3-bbe8-1f487f638f61.jpg","NL","13 cm","rgb(0, 128, 0)","1.11","x 12"
"Anthurium Lovely Assorted","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_17a08564-4380-48c0-8815-820399d0f76b.jpg","NL","7 cm","rgba(0, 0, 0, 0)","1.39","x 30"
"Anthurium Lovely Black Love","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_99c75c59-7292-4e37-8445-aa2727d1719d.jpg","NL","7 cm","rgb(0, 0, 0)","1.39","x 30"
